enterprise,product
NEOTISS FRANCE,不锈钢管;焊接管;U型管;
浦项(张家港)不锈钢股份有限公司,不锈钢板;
LONGXING ACCORD COMPANY LIMITED,焊剂;不锈钢焊丝;碳钢焊条;合金钢焊丝;不锈钢焊条;合金钢焊条;其它焊条;
Intra-Automation GmbH,液位计;
全美在线（北京）教育科技股份有限公司,管理咨询;培训服务;
Parker Hannifin Corporation,运输服务;表阀;换向阀;三通阀;孔板闸阀;止回阀;溢流阀;伺服阀;疏水阀;调节阀;快关阀;遮断阀;安全阀;隔离阀;节流阀;旋塞阀;电磁阀;蝶阀;取样阀;其它阀门;管道连接件;泄压阀;堵阀;截止阀;闸阀;其它管道附件;球阀;针形阀;插装阀;
惠州市高艺科技有限公司,弯制工序;压制工序;
INNSE BERARDI S.P.A,其它维修及维护服务;其它电器设备;其它密封件;其它开关;其它传动件;钻床;其它风机;其它阀门;特种电机;其它控制组件;其它电子功能件;其它泵;其它执行器器件;
河南省发源防腐绝热有限公司,其它劳务服务;其它工程服务;
北京市盈科（广州）律师事务所,法律咨询;
新疆大学,设计服务;
广州特种机电设备检测研究院,其它检测认证服务;
佛山市隽胜钢铁有限公司,其它基建及装修;
THERMOCOAX  SAS,电加热器;
酒钢集团酒泉天成风电设备有限责任公司,筒体卷制工序;其他核岛主设备外包件的机加工序;
TCEM SAS,胀管机;生产设备维修;其它检测设备;通用五金工具;其它维修及维护服务;
广州产权交易所,其它劳务服务;
广东耀朗新能源装备有限公司,风机塔筒;
致力华富科技有限公司,碳钢焊带;埋弧焊设备;CO2气体保护焊设备;TIG惰性气体钨极保护焊设备;高温合金焊条;堆焊设备;管子管板封口焊设备;其它维修及维护服务;其它清洁及安全防护设备;镍基焊条;镍基焊带;焊剂;其它焊接设备;碳钢焊丝;不锈钢焊丝;合金钢焊条;大型焊接变位器;生产设备维修;合金钢焊丝;高温合金焊丝;碳钢焊条;全位置自动焊接设备;不锈钢焊条;合金钢焊带;不锈钢焊带;镍基焊丝;高温合金焊带;MIG惰性气体保护焊设备;
广州蓝澈海洋技术有限公司,工程咨询;其它检测认证服务;勘察和设计;其它工程服务;
THE FLEXITALLIC GROUP,垫片;
广州惠帆信息咨询有限公司,其它计算机软件;企业管理信息系统;其它信息化系统;信息化软件系统维护;企业管理软件;办公软件;
河南丰辉桥梁工程有限公司,运输服务;
甘肃和宏新材料有限公司,铜管;
Schm?le GmbH,不锈钢管;U型管;
广州市鸿胜环保科技有限公司,工业垃圾与卫生防疫;
中国水产广州建港工程公司,其它工程服务;基建维修;
上海东海压力容器制造有限公司,其它黑色管材;筒体卷制工序;蒸汽发生器套筒组件的焊接工序;蒸汽发生器汽水分离器组件整体外委;蒸汽发生器套筒组件的机加工序;蒸汽发生器干燥器组件整体外委;蒸汽发生器套筒组件整体外委;蒸汽发生器初级分离器组件整体外委;蒸汽发生器套筒组件;蒸汽发生器初级分离器组件;蒸汽发生器干燥器组件;蒸汽发生器次级分离器组件;蒸汽发生器汽水分离器组件;汽水分离再热器波纹板;其它常规岛部件;压制工序;弯制工序;工装整体外委;冷作加工工序;中小件的机加工序;中小件机加工序;核岛主设备配套中小件;
广州合亿贸易有限公司,碳钢圆钢;方钢;纱布类磨具;包装材料;槽钢;角钢;碳钢板;通用五金工具;广告服务;标准紧固件;
广州市荣孚贸易有限公司,土木工具;通用五金工具;液压工具;焊（割）工具;气动工具;电动工具;
阳江市恒财物流有限公司,碳钢板;
Technetics Group France,密封圈;垫片;
江苏盛来大件物流有限公司,运输服务;
中山市赛福茂泽机电工程有限公司,现场安装;吊装服务;包装箱;其它包装用品;运输服务;包装材料;包装服务;
阿特拉斯.科普柯（上海）贸易有限公司,空压机系统;生产设备维修;
北京天远三维科技股份有限公司,扫描仪;
SIEM SUPRANITE and Flexitallic,垫片;
Magnetrol International,Incorporated ,液位计;
四川凯满核电设备有限公司,保温、耐火材料;
中国航空综合技术研究所,其它检测认证服务;工程咨询;
西安交通大学青岛研究院,培训服务;
广州国好实业有限公司,其它劳务服务;劳务服务;
广州国宸建设工程有限公司,土建施工;现场安装;基建维修;
中国平安财产保险股份有限公司德阳中心支公司（中国平安财产保险股份有限公司四川分公司）,财产保险;工程保险;运输保险;人身保险;
Endress+Hauser GmbH+Co.KG,液位计;
四川连信人力资源服务有限公司,其它劳务服务;
中国广州分析测试中心,理化检测;计量检测;
广州市第一人民医院,健康体检;
宝武特种冶金有限公司,镍板及镍基板;不锈钢管;不锈钢板;
富士施乐实业发展（中国）有限公司广州分公司,扫描仪;复印机;打印机;其它维修及维护服务;
中国原子能科学研究院,理化检测;科研服务;设计服务;
广州奇翔门业有限公司,土建施工;
ESAB Perstorp AB,其它焊丝;焊剂;碳钢焊丝;其它焊条;合金钢焊丝;合金钢焊条;高温合金焊丝;碳钢焊条;高温合金焊条;不锈钢焊丝;不锈钢焊条;碳钢焊带;不锈钢焊带;合金钢焊带;
湖南威胜信息技术有限公司,企业管理信息系统;
BWXT Canada Ltd.,核岛主设备配套中小件;弹性支撑;大型筒体锻件;U型管;蒸汽发生器汽水分离器组件;
Voestalpine Bohler Welding Belgium S.A,焊剂;不锈钢焊带;
Voestalpine Bohler Welding Austria GmbH,不锈钢焊条;高温合金焊条;镍基焊条;合金钢焊丝;镍基焊丝;碳钢焊条;合金钢焊条;碳钢焊丝;合金钢焊带;不锈钢焊带;不锈钢焊丝;其它焊条;高温合金焊带;焊剂;碳钢焊带;高温合金焊丝;其它焊丝;
中国电子产品可靠性与环境试验研究所（工业和信息化部电子第五研究所）（中国赛宝实验室）,计量检测;其它检测认证服务;理化检测;
中船重工物资贸易集团海南有限公司,合金钢板;碳钢板;不锈钢板;
