enterpriseId,enterpriseName,gongyingshangId,gongyingshangName
00ee27d120d1897c1b3e5d2efd590a4f,徐州徐工物资供应有限公司,1d2064a5c9e846a8dfe6568407bf2fcd,奔腾激光（浙江）股份有限公司
00ee27d120d1897c1b3e5d2efd590a4f,徐州徐工物资供应有限公司,bf1ba8c9ccbd0d6ccf8fe80f330ba6be,成都焊研威达科技股份有限公司
00ee27d120d1897c1b3e5d2efd590a4f,徐州徐工物资供应有限公司,e938a5dc2087e79372b9249d78b17a89,北京北一机床有限责任公司
00ee27d120d1897c1b3e5d2efd590a4f,徐州徐工物资供应有限公司,f615f5aaaf36b1deb87adf3c50fba176,上海海希工业通讯股份有限公司
00f42304b3d70c86efcc372137b0e9c2,法兰泰克重工股份有限公司,f615f5aaaf36b1deb87adf3c50fba176,上海海希工业通讯股份有限公司
00fd86daf5ade271573a432fbff0c888,河南城际铁路有限公司,073953208a0d2055de5ede4473f34da4,晋亿实业股份有限公司
01219057ec9e263ebf3ecda5adc3530c,江苏扬子江冶金技术研究院有限公司,3711bed2259190ab49945ea0cc30fce1,钢研纳克检测技术股份有限公司
013356b27f2bc3ce280b571f0ca40e67,上海恒精感应科技股份有限公司,fb963f435ba20a4a458eb0392cfaa53a,南京钢铁股份有限公司
013491071eac09a9a6018d118e4b9416,湖南高创新能源工程运营管理有限公司,80c94920d84693a1669bd901c5915dd2,中际联合（北京）科技股份有限公司
015060cd19ed3542f390b4dd6ac99429,哈尔滨鑫磊科技有限公司,27ab92e6410ea32dca6ee00bcd60e21a,北京天远三维科技有限公司
015f855611d96527fff6f06352c223fb,深圳妈湾电力有限公司,04f0f456b4410c24d4fa91ef13674910,广州天骄建筑有限公司
015f855611d96527fff6f06352c223fb,深圳妈湾电力有限公司,06471ef864133f7bd1e11faeb47dd530,河南发源防腐建设集团有限公司
015f855611d96527fff6f06352c223fb,深圳妈湾电力有限公司,070f222b76c0934c1ced0753a630b1f0,北京华兴建设监理咨询有限公司
015f855611d96527fff6f06352c223fb,深圳妈湾电力有限公司,104331f2d163231a5f9de716ec8445c0,广东东方雨虹防水工程有限公司
015f855611d96527fff6f06352c223fb,深圳妈湾电力有限公司,57612a46b4258683fdcc0175af5d26f0,珠海市威旗防腐科技股份有限公司
