standard_num,level,standard_name,drafts_name,publish_date,status
NB/T 20010.3-2010,行业标准,压水堆核电厂阀门 第3部分：不锈钢铸件技术条件,"上海核工程研究设计院,安徽应流集团",2010-05-24,现行
NB/T 20010.5-2010,行业标准,压水堆核电厂阀门 第5部分：奥氏体不锈钢煅件技术条件,"上海核工程研究设计院,中核苏阀科技实业股份有限公司",2010-05-24,现行
NB/T 20010.7-2010,行业标准,压水堆核电厂阀门 第7部分：包装、运输和贮存,上海核工程研究设计院,2010-05-24,现行
NB/T 20010.8-2010,行业标准,压水堆核电厂阀门 第8部分：安装和维修技术条件,"上海阀门厂有限公司,上海核工程研究设计院",2010-05-24,现行
NB/T 20013-2010,行业标准,含缺陷核承压设备完整性评定,"核动力运行研究所,中核武汉核电运行技术股份有限公司",2010-05-24,现行
NB/T 20016-2010,行业标准,人因工程在核电厂基于计算机的监测和控制显示设计中的应用,"上海核工程研究设计院,核工业标准化研究所",2010-05-24,现行
NB/T 20019-2010,行业标准,核电厂安全级仪表和控制设备电子元器件老化筛选和降额使用规定,"中科核电技术研究院有限公司北京分院,上海核工程研究设计院",2010-05-24,现行
NB/T 20036.3-2011,行业标准,核电厂能动机械设备鉴定 第3部分：非金属物项鉴定,"宁波天生密封件有限公司,核工业标准化研究所",2011-07-01,现行
NB/T 20036.4-2011,行业标准,核电厂能动机械设备鉴定 第4部分：动态约束器鉴定,中国核电工程有限公司,2011-07-01,现行
NB/T 20036.5-2011,行业标准,核电厂能动机械设备鉴定 第5部分：泵组件鉴定,上海核工程研究设计院,2011-07-01,现行
NB/T 20037.1-2011,行业标准,应用于核电厂的概率安全评价 第1部分：功率运行内部事件一级PSA,"上海核工程研究设计院,中科华核电技术研究院",2011-07-01,现行
NB/T 20037.10-2017,行业标准,应用于核电厂的一级概率安全评价 第10部分：功率运行抗震裕度评价,"中国核电工程有限公司,上海核工程研究设计院,中广核工程有限公司",2017-02-10,现行
NB/T 20037.11-2018,行业标准,应用于核电厂的一级概率安全评价 第11部分：功率运行内部事件,"中国核电工程有限公司,苏州热工研究院有限公司,上海核工程研究设计院",2018-03-22,现行
NB/T 20037.2-2012,行业标准,应用于核电厂的概率安全评价 第2部分：低功率和停堆工况内部事件一级PSA,"上海核工程研究设计院,中科华核电技术研究院",2012-01-06,现行
NB/T 20037.3-2012,行业标准,应用于核电厂的概率安全评价 第3部分:水淹,"上海核工程研究设计院,中科华核电技术研究院",2012-01-06,现行
NB/T 20037.4-2013,行业标准,应用于核电厂的概率安全评价 第4部分：火灾,"苏州热工研究院有限公司,上海核工程研究设计院",2013-06-08,现行
NB/T 20037.6-2017,行业标准,应用于核电厂的一级概率安全评价 第6部分：功率运行其他外部事件筛选和保守分析,"中国核电工程有限公司,苏州热工研究院有限公司,上海核工程研究设计院",2017-04-01,现行
NB/T 20037.7-2017,行业标准,应用于核电厂的一级概率安全评价 第7部分：功率运行强风,"中国核电工程有限公司,苏州热工研究院有限公司,上海核工程研究设计院",2017-04-01,现行
NB/T 20037.9-2018,行业标准,应用于核电厂的一级概率安全评价 第9部分：功率运行其他外部灾害,"中国核电工程有限公司,上海核工程研究设计院有限公司,中广核工程有限公司",2018-03-22,现行
NB/T 20039.1-2014,行业标准,核空气和气体处理规范 通风、空调与空气净化 第1部分：通风机,中国核电工程有限公司,2014-06-29,现行
NB/T 20039.12-2011,行业标准,核空气和气体处理规范 通风、空调与空气净化 第12部分：碘吸附器（II型）,"靖江希达环保空调净化设备有限公司,上海核工程研究设计院",2011-07-01,现行
