id,企业名,标签,统一社会信用代码,法定代表人,登记状态,成立日期,注册资本,实缴资本,组织机构代码,工商注册号,纳税人识别号,企业类型,营业期限,纳税人资质,所属行业,所属地区,登记机关,人员规模,参保人数,曾用名,注册地址,经营范围,网址
9601ae912ef2f756c22fa1318553945c,东方电气（广州）重型机器有限公司,#仪器设备#专用设备#生产制造#制造业#专用设备制造业#广东省#广州市#南沙区#高新技术企业,91440101753473857D ,但军,在营（开业）企业,2003-09-02,121971.8689万元人民币,121971.8689万元人民币,75347385-7 ,440101000002527 ,91440101753473857D ,其他有限责任公司,2003-09-02 至 无固定期限,增值税一般纳税人,专用设备制造业,广东省,广州市市场监督管理局,800-899人,843,广州广重（南沙）机械有限公司,广州市南沙区黄阁镇连溪大道313号,原子能动力设备制造;泵及真空设备制造;金属压力容器制造;金属包装容器制造;金属表面处理及热处理加工;金属密封件制造;模具制造;海洋工程专用设备制造;机电设备安装服务;机电设备安装工程专业承包;通用机械设备销售;电气机械设备销售;货物进出口（专营专控商品除外）;技术进出口;机械设备租赁;场地租赁（不含仓储）;房屋租赁;提供港口货物装卸（含过驳）、仓储、港内驳运、集装箱装卸、堆存、及装拆箱等简单加工处理服务;港口设施、设备和港口机械的租赁、维修服务;为船舶提供码头、过驳锚地、浮筒等设施,
47c5731a4bb34b9f95325ccbed56297b,安徽应流久源核能新材料科技有限公司,#制造业#其他制造业#安徽省#合肥市#合肥经济技术开发区#科技型中小企业,913401003438705934,杜应流,存续（在营、开业、在册）,2015-06-11,10000万元人民币,10000万元人民币,34387059-3,340194000068051,913401003438705934,其他有限责任公司,2015-06-11 至 2025-06-10,-,其他制造业,安徽省,合肥市经济开发区市场监督管理局,50-99人,63 ,-,安徽省合肥市经济技术开发区繁华大道933号联合厂房二101号,中子吸收和屏蔽材料及制品、金属复合材料及制品、稀有金属合金及制品、粉末冶金制品、有色金属压延产品、结构陶瓷及功能陶瓷制品、新型核工程材料及产品、核技术机械设备和仪器的开发、生产与销售；金属保温层、新/乏燃料格架、暂存格架、运输容器的设计、生产、销售及服务；特种防护材料研制及服装开发、设计、生产与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,
